,error,max_f,n_est,stds
0,0.7851123595505618,sqrt,10,0.020834636456983215
1,0.7317415730337079,sqrt,50,0.011631811769988629
2,0.7289325842696629,sqrt,100,0.010219006415070852
3,0.7401685393258427,sqrt,200,0.007474020237905219
4,0.7373595505617978,sqrt,500,0.014455792357535321
5,0.7373595505617978,sqrt,1000,0.014125165070460024
6,0.7907303370786517,log2,10,0.021437875625085697
7,0.7331460674157303,log2,50,0.015839846607600693
8,0.7317415730337079,log2,100,0.01431267321720631
9,0.7345505617977528,log2,200,0.015646594343522325
10,0.7303370786516854,log2,500,0.015640342179335683
11,0.7303370786516854,log2,1000,0.015640342179335683
12,0.7823033707865169,,10,0.019295728958924806
13,0.7823033707865169,,50,0.019295728958924806
14,0.7823033707865169,,100,0.019295728958924806
15,0.7823033707865169,,200,0.019295728958924806
16,0.7823033707865169,,500,0.019295728958924806
17,0.7823033707865169,,1000,0.019295728958924806
18,0.8160112359550562,sqrt,10,0.023056934039144758
19,0.800561797752809,sqrt,50,0.012865763410079155
20,0.8047752808988764,sqrt,100,0.01796107355978903
21,0.8146067415730337,sqrt,200,0.01985174388457503
22,0.8033707865168539,sqrt,500,0.018096421834186083
23,0.800561797752809,sqrt,1000,0.02090423235326782
24,0.7907303370786517,log2,10,0.020965191335579846
25,0.7879213483146067,log2,50,0.029776945984171653
26,0.7837078651685393,log2,100,0.024891537371325927
27,0.7963483146067416,log2,200,0.02476132901226735
28,0.7921348314606742,log2,500,0.011337208744950264
29,0.7935393258426966,log2,1000,0.019251396403243307
30,0.797752808988764,,10,0.018895064076114913
31,0.8202247191011236,,50,0.02941799337589191
32,0.8174157303370787,,100,0.030822279539960227
33,0.8188202247191011,,200,0.028344785025074724
34,0.8117977528089888,,500,0.029068655169348232
35,0.8103932584269663,,1000,0.02902175970566614
36,0.8188202247191011,sqrt,10,0.035472579860286776
37,0.8342696629213483,sqrt,50,0.02023384543715089
38,0.8216292134831461,sqrt,100,0.030035345048496347
39,0.8216292134831461,sqrt,200,0.030035345048496347
40,0.8216292134831461,sqrt,500,0.03329862963710048
41,0.8202247191011236,sqrt,1000,0.03169904316364595
42,0.8146067415730337,log2,10,0.02455117274185022
43,0.8061797752808989,log2,50,0.026593096298044877
44,0.8103932584269663,log2,100,0.01686450615295102
45,0.8216292134831461,log2,200,0.022155312216793795
46,0.8117977528089888,log2,500,0.016389264065133455
47,0.8160112359550562,log2,1000,0.02155671639432902
48,0.827247191011236,,10,0.03560053491292758
49,0.8300561797752809,,50,0.031141091591874517
50,0.8286516853932584,,100,0.03116830838491958
51,0.8286516853932584,,200,0.035093191912633666
52,0.8314606741573034,,500,0.03595926619996344
53,0.827247191011236,,1000,0.035303886179207704
54,0.8258426966292135,sqrt,10,0.04231711801168725
55,0.8300561797752809,sqrt,50,0.031751217511121775
56,0.827247191011236,sqrt,100,0.03332256184950314
57,0.8258426966292135,sqrt,200,0.029867248196314783
58,0.827247191011236,sqrt,500,0.029116654493118198
59,0.8286516853932584,sqrt,1000,0.031098838185286314
60,0.8300561797752809,log2,10,0.021417266071022113
61,0.8342696629213483,log2,50,0.022881001142137154
62,0.8314606741573034,log2,100,0.034048593688427574
63,0.8342696629213483,log2,200,0.03136828219633887
64,0.8328651685393258,log2,500,0.03140893284786607
65,0.8342696629213483,log2,1000,0.0323445693190834
66,0.827247191011236,,10,0.03956843802780449
67,0.827247191011236,,50,0.030699989366936704
68,0.8230337078651685,,100,0.02972677835434928
69,0.824438202247191,,200,0.02984526091790904
70,0.8202247191011236,,500,0.03189193103199773
71,0.8202247191011236,,1000,0.03225159606502054
72,0.8370786516853933,sqrt,10,0.03824132887380437
73,0.827247191011236,sqrt,50,0.035489201061653465
74,0.824438202247191,sqrt,100,0.03548083110476582
75,0.8286516853932584,sqrt,200,0.028829462467712296
76,0.8314606741573034,sqrt,500,0.027222061622565318
77,0.8300561797752809,sqrt,1000,0.02866883139987736
78,0.8286516853932584,log2,10,0.0348160774225578
79,0.8356741573033708,log2,50,0.02695056520406811
80,0.8314606741573034,log2,100,0.027934695186338537
81,0.8398876404494382,log2,200,0.022721570530228215
82,0.8455056179775281,log2,500,0.023736981467836146
83,0.8441011235955056,log2,1000,0.024270526226951254
84,0.827247191011236,,10,0.0430014766849371
85,0.8356741573033708,,50,0.037732515753077
86,0.827247191011236,,100,0.0348440613053415
87,0.827247191011236,,200,0.041026704542860816
88,0.8258426966292135,,500,0.03625849193145034
89,0.827247191011236,,1000,0.03687455344961942
90,0.8258426966292135,sqrt,10,0.0369922823668483
91,0.8469101123595506,sqrt,50,0.022348005283501265
92,0.8441011235955056,sqrt,100,0.026311722776543527
93,0.8412921348314607,sqrt,200,0.032100752317343766
94,0.8441011235955056,sqrt,500,0.027145866935847137
95,0.8398876404494382,sqrt,1000,0.03465128328974058
96,0.8258426966292135,log2,10,0.021364910956208964
97,0.8412921348314607,log2,50,0.02086824046711785
98,0.8384831460674157,log2,100,0.023911955086447667
99,0.8384831460674157,log2,200,0.028812747277953445
100,0.8370786516853933,log2,500,0.029734862026213178
101,0.8426966292134831,log2,1000,0.029411759367633752
102,0.824438202247191,,10,0.03691197464679675
103,0.8328651685393258,,50,0.03282604510179162
104,0.8258426966292135,,100,0.032378102945415155
105,0.827247191011236,,200,0.035893267118005376
106,0.8328651685393258,,500,0.03376458098849474
107,0.8300561797752809,,1000,0.03422282009831529
108,0.8202247191011236,sqrt,10,0.01928620776957019
109,0.8441011235955056,sqrt,50,0.024703669573698378
110,0.8370786516853933,sqrt,100,0.03004862343719195
111,0.8398876404494382,sqrt,200,0.024913160603397846
112,0.8398876404494382,sqrt,500,0.028409805762402398
113,0.8384831460674157,sqrt,1000,0.03103222148816045
114,0.8258426966292135,log2,10,0.03339342376300526
115,0.8342696629213483,log2,50,0.025219398263777396
116,0.8328651685393258,log2,100,0.03108053881736399
117,0.8455056179775281,log2,200,0.028446433969152786
118,0.8469101123595506,log2,500,0.02698559651822565
119,0.8441011235955056,log2,1000,0.025919629768057843
120,0.8230337078651685,,10,0.028663838499832665
121,0.824438202247191,,50,0.029300606714927197
122,0.8314606741573034,,100,0.033415743494969605
123,0.8314606741573034,,200,0.033861839400981544
124,0.8314606741573034,,500,0.03453946758603428
125,0.8286516853932584,,1000,0.029231189806291497
126,0.8188202247191011,sqrt,10,0.03593770952532677
127,0.8370786516853933,sqrt,50,0.03473653108962896
128,0.8412921348314607,sqrt,100,0.03611523669371725
129,0.8370786516853933,sqrt,200,0.02984362184504095
130,0.8441011235955056,sqrt,500,0.025417320330030503
131,0.8426966292134831,sqrt,1000,0.026530209153806505
132,0.8342696629213483,log2,10,0.027046469874007377
133,0.8398876404494382,log2,50,0.031080236951565872
134,0.8356741573033708,log2,100,0.03238985785836977
135,0.8398876404494382,log2,200,0.030075043713381287
136,0.8398876404494382,log2,500,0.028505452789834393
137,0.8384831460674157,log2,1000,0.025746096445612786
138,0.8202247191011236,,10,0.023643000533085188
139,0.8314606741573034,,50,0.0245787434164332
140,0.8300561797752809,,100,0.026933151148678076
141,0.8384831460674157,,200,0.028069122886193478
142,0.8342696629213483,,500,0.025061677287731433
143,0.8328651685393258,,1000,0.024260767175203583
144,0.8202247191011236,sqrt,10,0.036636946877554165
145,0.8370786516853933,sqrt,50,0.02310671952886435
146,0.8370786516853933,sqrt,100,0.026134296074178383
147,0.8384831460674157,sqrt,200,0.031345807203068586
148,0.8412921348314607,sqrt,500,0.022041968723295374
149,0.8412921348314607,sqrt,1000,0.021615071809440212
150,0.8300561797752809,log2,10,0.029384074128766348
151,0.8384831460674157,log2,50,0.032338254636653005
152,0.8398876404494382,log2,100,0.026151416716428726
153,0.8398876404494382,log2,200,0.029656452645137554
